Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Lebanon,87693,54008,755544,35680,143032,110095,270335,708838,337909,1023835,1151200,623170,1824693,2340786,10693301,57039313,6609629,4106141,6616119,4398314,6002719,7419861,4388713,3269014,4278444,2518873,2841525,4417297,5176150
Lesotho,0,0,0,0,0,279933,2530,51983,552593,29729,37643,1938,109,205174,142,4423,995,5973,2247,7055,0,1711,791,274099,7150,0,14596,0,0
Liberia,7014,11243,147512,28698,102949,49387,100687,0,329283,17698,57434,1311,29716,2481,14269,38691,831636,17449,507688,0,294077,1284,3361,5512,39046,48746,18568,16441,48515
Libya,0,11357,1584,0,12959,0,9751,0,0,0,13569,0,22920,158526,273965,30815,0,1333,16713,4055,2806,31622,59663,3228,0,4228,0,6290,3109
Lithuania,1239822,1820218,3691323,1290945,931499,704309,805535,1230082,1046957,1386623,7145163,8827351,7830663,6969516,4530933,8318021,5898798,6230151,9505564,16005282,10169750,11481327,20819964,27200152,28424695,27305072,29683097,39529520,36619356
Luxembourg,0,0,0,0,151924470,195375890,72975481,36201898,31418242,14810094,37823065,32263784,17547428,38269699,48332552,18101491,24415941,19080165,11182694,8606252,5348692,7985146,6402030,9667779,7239315,9224144,11792847,10472217,6199557
Macao,2937803,2467108,2806909,10447848,5165752,5617338,2748929,1217856,837858,1357830,2813245,2982524,4385107,3551104,1991698,2768184,1678966,1780565,2060774,2316974,2886517,2006373,2067437,2756528,1181422,8037489,9666722,81208393,50858770
Madagascar,7327,43655,8018,61919,66628,186837,93616,44156,174388,486387,489904,361863,240593,148759,235417,224847,125285,137870,196589,119555,156708,178682,8880,37099,94252,44186,169849,34890,365866
Malawi,50337,10852,72303,252346,24725,46609,100506,45736,67897,104081,78527,75329,111088,145953,604074,456189,816040,52317,47388,48052,126170,129262,66624,74233,85772,167970,1332737,1200411,139625
Malaysia,10346471244,11119751941,11278011912,10960471997,13698045262,15638064742,13248828797,15226379448,19122915092,19219779851,19522917017,21249265760,23265156511,6091809409,21414573641,23144380108,27785439343,25829163297,28284955571,31339125639,27600320929,26880406582,39935386896,47856857698,46842367135,50748802773,59313180480,78489040661,74351182033
Maldives,1905,0,0,121153,17061,47580,33941,82867,1159505,246032,121345,135920,143609,71080,10381,42029,1297708,837344,272265,259881,10525,297900,184278,133959,141011,201533,132431,157602,4489773
Mali,1596802,4121811,597375,1861115,4702486,9297267,26687106,3342797,1367506,1291069,940923,508904,1857407,804262,489945,6100582,2436138,254434,999186,1428251,861636,618117,903954,247600,2086565,787971,1158879,1585760,1493401
Malta,656750191,621128623,620483796,894395127,826315371,1116014306,939055264,975490759,951869591,1511633399,941101303,1123246607,1567881982,1241879226,1135689895,1383280235,1524478384,1680351211,1328488302,968331396,735910079,650552059,767996739,751719035,735071541,487745230,475400684,737778656,886777160
Marshall Islands,846815,0,22024,13062,80992,253015,36133,210686,372381,83155,86304,145673,8989,24711,210558,200502,54795,0,1666,6153,19346,2545,4107472,9976,24912,3260,2219754,202354,61500
Martinique,30617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,32791,8458,166628,1407832,109774,63550,146488,335867,1433051,1689280,726279,602065,137846,289351,186932,142124,113330,83443,81246,154619,140415,45343,140857,177517,201963,122133,243988,576850,117482
